Region,TimeDiff,R1-OCC,R1Light,R1-Temp,"R1_Corr(O,Temp)",R2-OCC,R2Light,R2-Temp,"R2_Corr(O,Temp)",R3-OCC,R3Light,R3-Temp,"R3_Corr(O,Temp)",R4-OCC,R4Light,R4-Temp,"R4_Corr(O,Temp)",R5-OCC,R5Light,R5-Temp,"R5_Corr(O,T)"
5,26,7,0,19.06,0.5,-7,0,19.75,0,4,1,18.69,0.5,5,0,20.25,0.5,5,0,20.75,0.5
4,31,8,0,19.06,0.5,-7,0,19.75,0,4,0,18.69,0.5,4,0,20.25,0.5,4,0,20.75,0.5
4,3,8,0,19.06,0.5,-7,0,19.75,0,4,0,18.69,0.5,4,0,20.25,0.5,4,1,20.75,0.5
2,1561,7,0,19,0.5,-6,0,19.75,0,4,0,18.62,0.5,4,0,20.25,0.5,4,1,20.75,0.5
3,766,7,0,19,0.5,-7,0,19.75,0,5,0,18.62,0.5,4,0,20.25,0.5,4,0,20.75,0.5
3,3,7,1,19,0.5,-7,0,19.75,0,5,0,18.62,0.5,4,0,20.25,0.5,4,0,20.75,0.5
2,8,7,0,18.94,0.5,-7,0,19.75,0,5,0,18.62,0.5,4,0,20.25,0.5,4,0,20.75,0.5
4,39,6,0,18.94,0.5,-7,0,19.75,0,5,1,18.62,0.5,5,0,20.25,0.5,5,0,20.75,0.5
2,3,6,0,18.94,0.5,-7,0,19.75,0,5,0,18.62,0.5,5,0,20.25,0.5,5,0,20.75,0.5
5,48,6,0,18.94,0.5,-7,0,19.75,0,5,0,18.56,0.5,4,0,20.25,0.5,4,0,20.75,0.5
4,4,6,0,18.94,0.5,-7,1,19.75,0,5,0,18.56,0.5,4,0,20.25,0.5,4,0,20.75,0.5
2,6,6,0,19,0.5,-7,0,19.75,0,5,0,18.56,0.5,4,0,20.25,0.5,4,1,20.75,0.5
5,13,6,0,19,0.5,-7,0,19.75,0,5,0,18.56,0.5,5,0,20.25,0.5,5,0,20.69,0.5
5,1,6,0,19,0.5,-7,0,19.62,0,5,0,18.56,0.5,5,0,20.25,0.5,5,1,20.69,0.5
4,15,7,0,19,0.5,-7,0,19.62,0,5,0,18.56,0.5,4,0,20.25,0.5,4,0,20.69,0.5
4,2,7,0,19,0.5,-7,0,19.62,0,5,0,18.56,0.5,4,0,20.25,0.5,4,0,20.69,0.5
4,2,7,0,19,0.5,-7,0,19.62,0,5,0,18.56,0.5,4,1,20.12,0.5,4,0,20.69,0.5
2,22,8,0,19,0.5,-8,0,19.62,0,5,0,18.56,0.5,4,0,20.12,0.5,4,0,20.69,0.5
3,2906,8,0,19.62,0.5,-9,0,20,0,6,0,19.12,0.5,4,0,21.06,0.5,4,0,21.31,0.5
3,18,8,0,19.62,0.5,-8,1,20,0,5,0,19.19,0.5,4,0,21.06,0.5,4,0,21.31,0.5
